StoryID,StoryText,Ground_Truth_HasAmbiguity,Ground_Truth_Types,LLM_HasAmbiguity,LLM_Types,LLM_Explanation,Model
US-C1-011,"As a account holder, I want to handle finances in order to comply with regulations",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'account holder' is not specific,gpt-3.5-turbo
US-C1-012,"As a loan officer, I would like to manage account to save time",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verb 'manage' and a generic user role 'loan officer' without clear specification,gpt-3.5-turbo
US-C1-013,"As a customer, I want to handle finances so I can track spending",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C1-014,"As a loan officer, I need to process application so that I can save time with detailed specifications and comprehensive requirements",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs like 'process' and unclear scope and actor roles,gpt-3.5-turbo
US-C1-015,"As a financial advisor, I would like to apply for loan to save time",True,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the verb 'apply' and the actor 'financial advisor' is not specific enough.,gpt-3.5-turbo
US-C1-016,"As a financial advisor, I need to handle finances so I can meet financial goals",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'finances' and 'financial goals' is unclear,gpt-3.5-turbo
US-C1-017,"As a user, I need to update information so that I can track spending with detailed specifications and comprehensive requirements",True,"['ScopeAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'update' and 'track' which can lead to different interpretations. Additionally, the scope and completeness criteria of the requirements are unclear.",gpt-3.5-turbo
US-C1-018,"As a customer, I would like to handle finances to track spending",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C1-019,"As a user, I need to handle finances so I can improve security",True,"['ScopeAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'handle' and unclear scope regarding what handling finances entails and what improving security means.,gpt-3.5-turbo
US-C1-020,"As a customer, I would like to handle finances to comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific enough,gpt-3.5-turbo
US-C1-021,"As a user, I want to process application so that I can comply with regulations",True,"['ScopeAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope regarding what 'application' needs to be processed and what regulations need to be complied with.,gpt-3.5-turbo
US-C1-022,"As a bank customer, I need to access system so that I have better save time with detailed specifications and comprehensive requirements",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('access system', 'better save time'), a generic user role ('bank customer'), and unclear scope or completeness criteria",gpt-3.5-turbo
US-C1-023,"As a investor, I want to process application so that I can save time",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verb 'process', a generic user role 'investor', and unclear scope regarding the application being processed",gpt-3.5-turbo
US-C1-024,"As a account holder, I would like to manage account to track spending",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and lacks clarity on the specific actions involved in tracking spending.,gpt-3.5-turbo
US-C1-025,"As a customer, I would like to handle finances to comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C1-026,"As a user, I need to update information so that I can track spending",True,"['ScopeAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'update' and unclear scope regarding what information needs to be updated and how tracking spending will be done.,gpt-3.5-turbo
US-C1-027,"As a bank customer, I want to download statements so that I can track spending",True,['DependencyAmbiguity'],True,['SemanticAmbiguity'],The verb 'download' is vague and could be clarified further,gpt-3.5-turbo
US-C1-028,"As a loan officer, I would like to process application to comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains semantic ambiguity in the vague verb 'process', actor ambiguity in 'loan officer', and scope ambiguity in 'comply with regulations'.",gpt-3.5-turbo
US-C1-029,"As a customer, I need to update information so that I can comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verb 'update', unclear scope of information to be updated, and generic user role 'customer'",gpt-3.5-turbo
US-C1-030,"As a customer, I would like to process application to meet financial goals with detailed specifications and comprehensive requirements",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs ('process', 'meet') and unclear scope and actor roles",gpt-3.5-turbo
US-C1-031,"As a user, I need to update information so I can meet financial goals",True,"['SemanticAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'update' and unclear scope regarding what information needs to be updated to meet financial goals.,gpt-3.5-turbo
US-C1-032,"As a user, I want to manage account so I can improve security",True,"['SemanticAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and unclear scope regarding what specific actions are involved in managing the account.,gpt-3.5-turbo
US-C1-033,"As a financial advisor, I want to process application in order to improve security",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs ('process') and unclear scope or objectives ('improve security'),gpt-3.5-turbo
US-C1-034,"As a loan officer, I want to manage account so that I can track spending",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and unclear scope regarding what aspects of the account need to be managed for tracking spending.,gpt-3.5-turbo
US-C1-035,"As a financial advisor, I would like to handle finances to save time",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of what handling finances entails is unclear.,gpt-3.5-turbo
US-C1-036,"As a financial advisor, I need to manage account so that I can improve security",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and unclear scope regarding what managing an account entails and what improving security means.,gpt-3.5-turbo
US-C1-037,"As a loan officer, I need to handle finances so that I can improve security",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'finances' and 'security' is unclear,gpt-3.5-turbo
US-C1-038,"As a account holder, I would like to access system to meet financial goals",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'access' and 'meet', the user role 'account holder' is not specific, and the financial goals are not clearly defined.",gpt-3.5-turbo
US-C1-039,"As a investor, I want to access system so that I can meet financial goals with detailed specifications and comprehensive requirements",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'access' and 'meet', lacks clarity on the scope of the system, and the user role 'investor' is generic without specific details.",gpt-3.5-turbo
US-C1-040,"As a customer, I want to transfer funds in order to save time",True,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'transfer' and unclear scope regarding the transfer of funds,gpt-3.5-turbo
US-C1-041,"As a loan officer, I want to manage account so that I can improve security with detailed specifications and comprehensive requirements",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'manage', unclear scope and boundaries, and a generic user role without clear specification.",gpt-3.5-turbo
US-C1-042,"As a loan officer, I would like to access system to improve security",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('improve') and a generic user role ('loan officer') without clear specification.,gpt-3.5-turbo
US-C1-043,"As a user, I need to process application so I can track spending",True,"['ScopeAmbiguity', 'ActorAmbiguity', 'DependencyAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('process', 'track') and lacks clarity in scope and boundaries.",gpt-3.5-turbo
US-C1-044,"As a loan officer, I need to update information so that I can improve security",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('update', 'improve') and lacks clarity on what specific information needs to be updated and how security will be improved.",gpt-3.5-turbo
US-C1-045,"As a user, I need to schedule appointment so I can improve security",True,['ActorAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('schedule', 'improve') and lacks clarity on the specific scope or boundaries of the task.",gpt-3.5-turbo
US-C1-046,"As a account holder, I would like to process application to comply with regulations",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('process') and unclear actor ('account holder'). Additionally, the scope of 'comply with regulations' is not well-defined.",gpt-3.5-turbo
US-C1-047,"As a investor, I would like to update information to improve security",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('investor') without clear specification.,gpt-3.5-turbo
US-C1-048,"As a account holder, I want to process application so that I can comply with regulations",True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains semantic ambiguity with the verb 'process', actor ambiguity with 'account holder', and scope ambiguity as it's unclear what 'application' refers to and what complying with regulations entails.",gpt-3.5-turbo
US-C1-049,"As a bank customer, I need to update information so that I can track spending",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'update' is vague and can encompass various actions. The user role 'bank customer' is generic and lacks specific details.,gpt-3.5-turbo
US-C1-050,"As a investor, I want to update information in order to meet financial goals",True,"['SemanticAmbiguity', 'DependencyAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('investor') without clear specification.,gpt-3.5-turbo
US-C1-051,"As a account holder, I want to update information so that I have better comply with regulations",True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","This user story contains semantic ambiguity due to vague verb 'update', actor ambiguity with 'account holder', and scope ambiguity as it's unclear what specific information needs to be updated for regulatory compliance.",gpt-3.5-turbo
US-C1-052,"As a loan officer, I need to apply for loan so I can improve security as soon as possible",True,['PriorityAmbiguity'],True,"['SemanticAmbiguity', 'PriorityAmbiguity']",The user story contains vague verbs like 'improve security' and lacks clear priority or urgency,gpt-3.5-turbo
US-C1-053,"As a financial advisor, I want to process application in order to save time",True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'process' is vague and the user role 'financial advisor' is not specific enough,gpt-3.5-turbo
US-C1-054,"As a user, I want to update information so that I have better improve security",True,"['SemanticAmbiguity', 'ActorAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'update' and unclear scope in terms of what information needs to be updated for improved security.,gpt-3.5-turbo
US-C1-055,"As a customer, I want to download statements so that I can meet financial goals",False,[],True,['SemanticAmbiguity'],The verb 'meet' is vague and does not clearly specify what actions the user needs to take with the downloaded statements to achieve their financial goals.,gpt-3.5-turbo
US-C1-056,"As a investor, I want to apply for loan in order to comply with regulations",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('apply') and unclear scope (e.g., which regulations, what type of loan)",gpt-3.5-turbo
US-C1-057,"As a loan officer, I need to download statements so that I can track spending with detailed specifications and comprehensive requirements",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'track' and unclear scope regarding the level of detail and comprehensiveness required.,gpt-3.5-turbo
US-C1-058,"As a investor, I would like to view account balance to track spending with detailed specifications and comprehensive requirements",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague terms like 'detailed specifications' and 'comprehensive requirements', leading to SemanticAmbiguity. Additionally, the scope of what constitutes 'account balance' and 'track spending' is not clearly defined, indicating ScopeAmbiguity.",gpt-3.5-turbo
US-C1-059,"As a bank customer, I want to schedule appointment so that I can track spending",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('schedule', 'track') and unclear scope regarding what kind of appointment scheduling is needed and how it relates to tracking spending.",gpt-3.5-turbo
US-C1-060,"As a loan officer, I would like to schedule appointment to save time",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the verb 'schedule' and the actor 'loan officer' is not clearly defined,gpt-3.5-turbo
US-C1-061,"As a customer, I would like to schedule appointment to track spending",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs ('schedule', 'track') and unclear scope and actor roles",gpt-3.5-turbo
US-C1-062,"As a loan officer, I need to transfer funds so that I can meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'transfer' is vague and the user role 'loan officer' is not specific enough,gpt-3.5-turbo
US-C1-063,"As a loan officer, I want to view account balance so I can save time",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'view' is vague and the user role 'loan officer' is not specific enough,gpt-3.5-turbo
US-C1-064,"As a account holder, I want to apply for loan in order to save time",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains SemanticAmbiguity as the verb 'apply' is vague and ScopeAmbiguity as it lacks details on what type of loan or the specific process involved.,gpt-3.5-turbo
US-C1-065,"As a investor, I want to download statements so that I can save time",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']","The verb 'download' is clear, but the term 'statements' is vague. Additionally, the user role 'investor' is generic and lacks specific details.",gpt-3.5-turbo
US-C1-066,"As a customer, I want to download statements so I can track spending",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('download', 'track') and lacks clarity on the scope of statements or the tracking process.",gpt-3.5-turbo
US-C1-067,"As a financial advisor, I want to view account balance so I can meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'view' is vague and can be interpreted in different ways. The user role 'financial advisor' is generic and lacks specific details.,gpt-3.5-turbo
US-C1-068,"As a account holder, I want to schedule appointment so that I can comply with regulations",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verb 'schedule' and unclear actor 'account holder'. Additionally, the scope is not well-defined as it does not specify what kind of appointment or regulations are involved.",gpt-3.5-turbo
US-C1-069,"As a loan officer, I would like to view account balance to improve security",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']","The user story contains semantic ambiguity with the verb 'view' which is vague. Additionally, the user role 'loan officer' is not clearly defined.",gpt-3.5-turbo
US-C1-070,"As a investor, I want to apply for loan in order to meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'apply' is vague and the user role 'investor' is not specific enough,gpt-3.5-turbo
US-C1-071,"As a account holder, I want to schedule appointment in order to comply with regulations",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains Semantic Ambiguity with the verb 'schedule' and Scope Ambiguity with unclear regulations and appointment details.,gpt-3.5-turbo
US-C1-072,"As a account holder, I need to transfer funds so that I can meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'transfer' is vague and the user role 'account holder' is not specific,gpt-3.5-turbo
US-C1-073,"As a bank customer, I need to transfer funds so that I can save time",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'transfer funds' and 'save time'. It lacks clarity on the specific actions involved in fund transfer, the scope of the transfer process, and the specific needs of the bank customer.",gpt-3.5-turbo
US-C1-074,"As a investor, I would like to download statements to comply with regulations with detailed specifications and comprehensive requirements",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague terms like 'detailed specifications' and 'comprehensive requirements', leading to SemanticAmbiguity. Additionally, the scope of what constitutes 'statements' and the extent of compliance with regulations are unclear, indicating ScopeAmbiguity.",gpt-3.5-turbo
US-C1-075,"As a account holder, I want to schedule appointment so that I can save time",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the vague verb 'schedule' and actor ambiguity with the generic role 'account holder',gpt-3.5-turbo
US-C1-076,"As a customer, I would like to transfer funds to improve security",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs ('transfer funds') and unclear scope ('to improve security'),gpt-3.5-turbo
US-C1-077,"As a investor, I need to schedule appointment so I can improve security",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('schedule', 'improve') and lacks clarity in terms of scope and purpose.",gpt-3.5-turbo
US-C1-078,"As a account holder, I need to view account balance so that I can track spending",False,[],True,['ActorAmbiguity'],"The user role 'account holder' is not specific enough. It could refer to different types of account holders such as individual customers, business account holders, etc.",gpt-3.5-turbo
US-C1-079,"As a investor, I would like to view account balance to save time",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'view' is vague and can be interpreted in different ways. The user role 'investor' is generic and lacks specific details.,gpt-3.5-turbo
US-C1-080,"As a investor, I would like to transfer funds to save time",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'transfer' and unclear scope regarding the destination or method of transfer.,gpt-3.5-turbo
US-C1-081,"As a financial advisor, I want to view account balance so that I can save time",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'view' is vague and the user role 'financial advisor' is not specific enough,gpt-3.5-turbo
US-C1-082,"As a customer, I want to apply for loan in order to meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the verb 'apply' and the actor 'customer' is not specific.,gpt-3.5-turbo
US-C1-083,"As a investor, I want to schedule appointment in order to comply with regulations",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'schedule' and unclear scope regarding what regulations need to be complied with,gpt-3.5-turbo
US-C1-084,"As a bank customer, I want to download statements so that I can meet financial goals",False,[],True,['ScopeAmbiguity'],The user story lacks clarity on the specific types of statements to be downloaded or the criteria for meeting financial goals.,gpt-3.5-turbo
US-C1-085,"As a investor, I would like to view account balance to save time with detailed specifications and comprehensive requirements",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'view' and 'save time' which can be interpreted differently. Additionally, the scope and detailed specifications are not clearly defined.",gpt-3.5-turbo
US-C1-086,"As a investor, I would like to apply for loan to track spending",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('apply', 'track') and unclear scope regarding what type of loan and spending tracking is involved.",gpt-3.5-turbo
US-C1-087,"As a financial advisor, I need to apply for loan so that I can meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'apply' is vague and the user role 'financial advisor' is not specific enough,gpt-3.5-turbo
US-C1-088,"As a investor, I need to transfer funds so that I can comply with regulations",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'transfer' and unclear scope regarding the specific regulations or requirements.,gpt-3.5-turbo
US-C1-089,"As a financial advisor, I want to download statements so that I can save time",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'download' is vague and could be clarified. The scope of 'statements' is not clearly defined - what type of statements are being referred to?,gpt-3.5-turbo
US-C1-090,"As a investor, I need to apply for loan so that I can meet financial goals with detailed specifications and comprehensive requirements",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'apply' and 'meet', lacks clarity on the scope of the loan application process, and does not specify the detailed requirements or financial goals.",gpt-3.5-turbo
US-C1-091,"As a customer, I want to transfer funds in order to comply with regulations",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs ('transfer funds') and unclear scope or purpose ('in order to comply with regulations'),gpt-3.5-turbo
US-C1-092,"As a bank customer, I want to download statements in order to meet financial goals",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'meet' and lacks clarity on the specific financial goals or types of statements to be downloaded.,gpt-3.5-turbo
US-C1-093,"As a investor, I would like to transfer funds to track spending with detailed specifications and comprehensive requirements",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'transfer' and 'track spending' without clear details on how these actions should be performed. Additionally, the scope and completeness criteria of the requirements are not well-defined.",gpt-3.5-turbo
US-C1-094,"As a account holder, I want to transfer funds so that I can meet financial goals",False,[],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the vague verb 'transfer' and the generic user role 'account holder',gpt-3.5-turbo
US-C1-095,"As a bank customer, I want to download statements so I can save time",False,[],True,['SemanticAmbiguity'],"The verb 'download' is clear, but the action of 'statements' is vague. It is unclear what type of statements the user wants to download (e.g., bank account statements, transaction statements).",gpt-3.5-turbo
US-C1-096,"As a financial advisor, I want to download statements in order to save time",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs ('download') and lacks clarity on the scope of statements and the specific time-saving benefits.,gpt-3.5-turbo
US-C1-097,"As a loan officer, I want to apply for loan so that I can save time",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'apply' and lacks clarity on what applying for a loan entails in terms of process or requirements.,gpt-3.5-turbo
US-C1-098,"As a bank customer, I want to view account balance so that I can improve security",False,[],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'improve' and lacks clarity on what specific actions the user can take to improve security.,gpt-3.5-turbo
US-C1-099,"As a loan officer, I would like to view account balance to comply with regulations",False,[],True,"['ActorAmbiguity', 'ScopeAmbiguity']",The user role 'loan officer' is generic and could be more specific. The scope of 'view account balance' is not clearly defined - it's unclear whose account balance and through which system.,gpt-3.5-turbo
US-C1-100,"As a customer, I want to view account balance so I can save time",False,[],True,['SemanticAmbiguity'],The verb 'view' is vague and could be more specific,gpt-3.5-turbo
