StoryID,StoryText,Primary_Type,Ground_Truth_HasAmbiguity,Ground_Truth_Types,LLM_HasAmbiguity,LLM_Types,LLM_Explanation,Model
US-C4-7949,"As a service representative, I need to process requests so that I can optimize performance",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what requests need to be processed and how performance optimization will be measured.,gpt-3.5-turbo
US-C2-3551,"As a nurse, I need to handle patient care so I can reduce errors",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'nurse' is not specific enough,gpt-3.5-turbo
US-C6-10587,"As a healthcare provider, I would like to process medical information to enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what specific medical information needs to be processed and how it will enhance safety.,gpt-3.5-turbo
US-C1-2054,"As a loan officer, I need to manage account so that I can track spending",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'account' and 'spending' is unclear,gpt-3.5-turbo
US-C1-1476,"As a bank customer, I want to access system in order to improve security",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('access') and unclear user role ('bank customer'). Additionally, the scope of 'improve security' is not well-defined.",gpt-3.5-turbo
US-C2-3310,"As a caregiver, I need to manage health data so that I can enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'health data' and 'enhance safety' is unclear,gpt-3.5-turbo
US-C3-5486,"As a vendor, I need to update inventory so that I can track delivery",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'update' and unclear scope regarding what updating inventory entails and what tracking delivery involves.,gpt-3.5-turbo
US-C2-3874,"As a medical staff, I want to access records so that I can improve patient care",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['ActorAmbiguity', 'ScopeAmbiguity']",The user role 'medical staff' is generic and can include various roles with different access needs. The scope of 'access records' is not clearly defined - it could refer to different types of records or levels of access.,gpt-3.5-turbo
US-C5-10028,"As a investor, I need to update information so I can meet financial goals",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the verb 'update' and the actor 'investor' is not specific,gpt-3.5-turbo
US-C2-2744,"As a patient, I need to manage health data so I can save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'health data' is unclear,gpt-3.5-turbo
US-C1-598,"As a financial advisor, I need to handle finances so I can save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'financial advisor' is not specific enough,gpt-3.5-turbo
US-C4-7611,"As a subscriber, I need to manage service so that I can avoid overage charges",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'manage' is vague and the user role 'subscriber' is not clearly defined,gpt-3.5-turbo
US-C2-3926,"As a medical staff, I would like to update system to ensure compliance",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('medical staff') without clear specification.,gpt-3.5-turbo
US-C2-3887,"As a caregiver, I need to access records so that I can save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'access' is vague and the user role 'caregiver' is not clearly defined,gpt-3.5-turbo
US-C3-6400,"As a customer, I want to handle orders so I can find desired items",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific enough,gpt-3.5-turbo
US-C1-1216,"As a investor, I want to process application in order to save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'process' is vague and the user role 'investor' is not clearly defined,gpt-3.5-turbo
US-C5-9812,"As a customer, I would like to handle finances to track spending",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C6-10807,"As a nurse, I would like to access records to improve patient care",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'access' and unclear scope regarding which records and how access will improve patient care.,gpt-3.5-turbo
US-C6-10992,"As a medical staff, I would like to update system to save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verb 'update' and a generic user role 'medical staff' without clear specification,gpt-3.5-turbo
US-C5-10339,"As a customer, I need to update information so that I can comply with regulations",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verb 'update', generic actor 'customer', and unclear scope regarding which information needs to be updated for regulatory compliance.",gpt-3.5-turbo
US-C4-8204,"As a user, I want to process requests in order to avoid overage charges",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains Semantic Ambiguity in the verb 'process' which is vague. Additionally, there is Scope Ambiguity as it is unclear what type of requests are being processed and what the criteria are for avoiding overage charges.",gpt-3.5-turbo
US-C4-7911,"As a customer, I want to update configuration so that I have better avoid overage charges with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'update' and 'have better avoid' which lead to SemanticAmbiguity. Additionally, the scope and completeness criteria are unclear in terms of what specific configurations need to be updated and what constitutes 'comprehensive requirements'. This leads to ScopeAmbiguity.",gpt-3.5-turbo
US-C5-10017,"As a bank customer, I would like to manage account to save time with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'manage', unclear scope and boundaries, and a generic user role without clear specification.",gpt-3.5-turbo
US-C6-11222,"As a healthcare provider, I would like to access records to reduce errors",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs ('access') and unclear scope (what kind of records, how to access, what errors to reduce)",gpt-3.5-turbo
US-C4-8459,"As a technician, I want to handle network issues in order to maintain connectivity with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'handle', unclear scope in terms of what 'detailed specifications and comprehensive requirements' entail, and the actor 'technician' is not clearly defined.",gpt-3.5-turbo
US-C2-4046,"As a medical staff, I want to process medical information so that I can enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what specific medical information needs to be processed and how safety will be enhanced.,gpt-3.5-turbo
US-C2-2369,"As a nurse, I want to handle patient care in order to enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'nurse' is not specific enough,gpt-3.5-turbo
US-C6-10854,"As a doctor, I need to handle patient care so that I can improve patient care",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'handle' and lacks clarity on the specific actions or tasks involved in 'handling patient care'. Additionally, the scope of 'improving patient care' is not clearly defined.",gpt-3.5-turbo
US-C8-12659,"As a quality inspector, I want to manage operations in order to improve efficiency",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and lacks clarity on the specific operations to be managed for improving efficiency.,gpt-3.5-turbo
US-C5-9001,"As a financial advisor, I want to manage account in order to save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of the task is unclear,gpt-3.5-turbo
US-C2-3239,"As a caregiver, I want to manage health data so that I can enhance safety",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'health data' and 'enhance safety' is unclear,gpt-3.5-turbo
US-C6-11185,"As a nurse, I want to update system so I can improve patient care",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs like 'update' and a generic user role 'nurse',gpt-3.5-turbo
US-C4-8522,"As a service representative, I want to process requests so I can reduce costs",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what requests are being processed and how costs will be reduced.,gpt-3.5-turbo
US-C4-7287,"As a technician, I need to access tools so that I can avoid overage charges",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'access' is vague and the user role 'technician' is not clearly defined,gpt-3.5-turbo
US-C4-7586,"As a customer, I need to manage service so that I can maintain connectivity",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'manage' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C2-3858,"As a nurse, I need to update system so I can save time",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('nurse') without clear specification.,gpt-3.5-turbo
US-C7-12282,"As a vendor, I need to process payments so that I can make informed decisions with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope with terms like 'detailed specifications' and 'comprehensive requirements'.,gpt-3.5-turbo
US-C1-1177,"As a loan officer, I would like to process application to meet financial goals",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and 'meet financial goals'. The user role 'loan officer' is generic and lacks specific details. The scope and boundaries of the application processing are unclear.,gpt-3.5-turbo
US-C2-3143,"As a healthcare provider, I want to handle patient care so that I can reduce errors with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'handle' and lacks clarity in scope and completeness criteria,gpt-3.5-turbo
US-C2-2370,"As a medical staff, I want to access records so that I can reduce errors with detailed specifications and comprehensive requirements",SemanticAmbiguity,True,['SemanticAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'reduce' and unclear scope regarding what records are to be accessed and the level of detail required.,gpt-3.5-turbo
US-C4-7867,"As a subscriber, I want to process requests so that I have better avoid overage charges",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains semantic ambiguity with the verb 'process' and actor ambiguity with the term 'subscriber',gpt-3.5-turbo
US-C2-3127,"As a medical staff, I need to update system so that I can improve patient care",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('medical staff') without clear specification.,gpt-3.5-turbo
US-C4-8413,"As a network admin, I want to handle network issues so I can resolve issues",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'handle' and lacks clarity on the specific network issues or resolution criteria.,gpt-3.5-turbo
US-C2-3889,"As a caregiver, I want to process medical information in order to improve patient care",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'process' and lacks clarity on the specific actions or steps involved. Additionally, the scope of 'medical information' and what it entails is not clearly defined.",gpt-3.5-turbo
US-C2-3213,"As a nurse, I want to update system in order to ensure compliance with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs ('update') and unclear scope and actor roles ('system', 'detailed specifications', 'comprehensive requirements')",gpt-3.5-turbo
US-C2-2802,"As a caregiver, I want to access records so that I can reduce errors with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'reduce' and unclear scope regarding what records are being accessed and how errors will be reduced.,gpt-3.5-turbo
US-C2-3216,"As a medical staff, I want to manage health data in order to reduce errors",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'health data' is not clearly defined,gpt-3.5-turbo
US-C6-10656,"As a medical staff, I want to process medical information so that I can reduce errors",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what specific medical information needs to be processed and how errors will be reduced.,gpt-3.5-turbo
US-C6-10769,"As a patient, I want to handle patient care so that I can ensure compliance",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'patient' is not specific enough,gpt-3.5-turbo
US-C2-3489,"As a caregiver, I would like to manage health data to enhance safety",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'manage' is vague and the scope of 'health data' and 'enhance safety' is unclear,gpt-3.5-turbo
US-C5-9775,"As a account holder, I need to manage account so that I can save time with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'manage', unclear scope and boundaries, and a generic user role without clear specification.",gpt-3.5-turbo
US-C2-2533,"As a caregiver, I want to update system so that I can save time",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('caregiver') without clear specification.,gpt-3.5-turbo
US-C1-1784,"As a loan officer, I need to manage account so that I can comply with regulations",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']","The user story contains vague verb 'manage', a generic user role 'loan officer', and unclear scope regarding what managing the account entails",gpt-3.5-turbo
US-C2-2748,"As a patient, I would like to handle patient care to enhance safety",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs like 'handle' and the user role 'patient' is not specific enough,gpt-3.5-turbo
US-C2-3134,"As a nurse, I would like to process medical information to save time",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'process' is vague and the user role 'nurse' is not specific enough,gpt-3.5-turbo
US-C6-11255,"As a doctor, I would like to manage health data to improve patient care",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,['SemanticAmbiguity'],The verb 'manage' is vague and lacks clarity in terms of specific actions or functionalities needed to achieve the goal.,gpt-3.5-turbo
US-C2-2725,"As a nurse, I would like to update system to ensure compliance",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verbs ('update') and a generic user role ('nurse') without clear specification.,gpt-3.5-turbo
US-C4-7665,"As a customer, I want to handle network issues in order to optimize performance",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C2-3711,"As a nurse, I want to process medical information in order to ensure compliance",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'process' and 'ensure compliance'. Additionally, the user role 'nurse' is generic and lacks specific details.",gpt-3.5-turbo
US-C4-7097,"As a customer, I want to process requests so that I can avoid overage charges",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'process' is vague and the user role 'customer' is not specific,gpt-3.5-turbo
US-C1-877,"As a financial advisor, I want to manage account so that I can comply with regulations with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verb 'manage' and lacks clarity in scope and completeness criteria,gpt-3.5-turbo
US-C4-7347,"As a technician, I want to handle network issues so that I can avoid overage charges",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The verb 'handle' is vague and the user role 'technician' is not clearly defined,gpt-3.5-turbo
US-C2-3910,"As a doctor, I want to handle patient care in order to save time",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'patient care' is unclear,gpt-3.5-turbo
US-C1-634,"As a financial advisor, I would like to access system to meet financial goals",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs ('access') and unclear scope and actor ('financial advisor'),gpt-3.5-turbo
US-C4-8211,"As a service representative, I want to update configuration in order to reduce costs",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains SemanticAmbiguity as the verb 'update' is vague and ScopeAmbiguity as it is unclear what specific configuration needs to be updated or how the cost reduction will be achieved.,gpt-3.5-turbo
US-C6-11274,"As a doctor, I would like to access records to enhance safety with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs ('access', 'enhance') and unclear scope and actor roles ('records', 'safety')",gpt-3.5-turbo
US-C5-10077,"As a loan officer, I need to handle finances so that I can improve security",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'finances' and 'improve security' is unclear,gpt-3.5-turbo
US-C1-1178,"As a investor, I would like to update information to save time",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verb 'update' and a generic user role 'investor' without clear specification,gpt-3.5-turbo
US-C2-2481,"As a doctor, I want to manage health data so that I have better save time",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'PriorityAmbiguity']",The verb 'manage' is vague and the priority of the task is unclear.,gpt-3.5-turbo
US-C2-3165,"As a medical staff, I want to process medical information so I can improve patient care",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what specific medical information needs to be processed and how it will improve patient care.,gpt-3.5-turbo
US-C2-3968,"As a doctor, I need to process medical information so I can enhance safety",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope in terms of what specific medical information needs to be processed and how safety will be enhanced.,gpt-3.5-turbo
US-C4-7362,"As a customer, I want to update configuration so that I can reduce costs with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'update' and unclear scope in terms of what configuration is being updated and what detailed specifications and comprehensive requirements are needed.,gpt-3.5-turbo
US-C6-11050,"As a nurse, I would like to process medical information to enhance safety with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'process' and 'enhance safety' without clear specifics. Additionally, the scope and boundaries of 'detailed specifications' and 'comprehensive requirements' are not well-defined.",gpt-3.5-turbo
US-C8-12757,"As a operator, I want to process data in order to meet production targets",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['ActorAmbiguity', 'SemanticAmbiguity', 'ScopeAmbiguity']",The user role 'operator' is generic and needs to be specified. The verb 'process' is vague. The production targets and the data processing scope are not clearly defined.,gpt-3.5-turbo
US-C1-930,"As a bank customer, I need to process application so that I have better track spending",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'process' and unclear scope regarding what 'application' is being processed for better tracking of spending.,gpt-3.5-turbo
US-C2-3113,"As a nurse, I want to process medical information in order to enhance safety with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'process' and 'enhance safety', unclear scope in terms of what specific medical information needs to be processed, and the actor 'nurse' is not clearly defined in terms of responsibilities or specific needs.",gpt-3.5-turbo
US-C1-1766,"As a investor, I want to access system so that I can improve security",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ActorAmbiguity']",The user story contains vague verb 'improve' and a generic user role 'investor' without clear specification,gpt-3.5-turbo
US-C4-8529,"As a network admin, I want to handle network issues so that I can optimize performance",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'network issues' is not clearly defined.,gpt-3.5-turbo
US-C3-4260,"As a store owner, I want to manage products in order to find desired items",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,['SemanticAmbiguity'],The verb 'manage' is vague and does not specify the exact actions needed to achieve the goal.,gpt-3.5-turbo
US-C1-2058,"As a customer, I need to process application so that I can save time",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague verbs like 'process' and lacks clarity on the specific actions or steps involved. Additionally, the scope of the application processing is unclear, including what the process entails or its boundaries.",gpt-3.5-turbo
US-C4-8788,"As a network admin, I would like to access tools to avoid overage charges with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity']","The user story contains vague terms like 'tools' and lacks clarity on what specific tools are needed. Additionally, the scope and boundaries of the requirements are not clearly defined.",gpt-3.5-turbo
US-C6-11266,"As a medical staff, I want to handle patient care in order to reduce errors",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The verb 'handle' is vague and the scope of 'patient care' is not clearly defined,gpt-3.5-turbo
US-C2-3496,"As a doctor, I want to update system so that I have better enhance safety with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,['ScopeAmbiguity'],True,"['SemanticAmbiguity', 'ScopeAmbiguity', 'ActorAmbiguity']","The user story contains vague verbs like 'update' and 'enhance safety', unclear scope in terms of what specific enhancements are needed, and the actor 'doctor' is not clearly defined with specific needs or goals.",gpt-3.5-turbo
US-C2-2955,"As a nurse, I need to access records so that I can enhance safety with detailed specifications and comprehensive requirements",ScopeAmbiguity,True,"['SemanticAmbiguity', 'ScopeAmbiguity']",True,"['SemanticAmbiguity', 'ScopeAmbiguity']",The user story contains vague verbs like 'enhance' and lacks clarity on the specific details and requirements needed for accessing records.,gpt-3.5-turbo
